chi=5.23599e-01 eps_A=5.00000e-11 eps_I=1.00000e-09  t_end=1.80e+11 ts=9.00e+06 ta=2.00e+06 tp=1.00e+05
1.6931950937806529e+08 2.7737061593772978e+03  1.4122288461846819e-01
1.8597992337849075e+08 2.6758826058746149e+03  1.2974043934720439e-01
2.0417886763433820e+08 2.5806396532817248e+03  1.1900697406984696e-01
2.2405183359352162e+08 2.4879470592685725e+03  1.0900162127468740e-01
2.4574436182437578e+08 2.3977869828209623e+03  9.9700360835759810e-02
2.6941447882487488e+08 2.3101436618076623e+03  9.1075770786817972e-02
2.9523038116627997e+08 2.2250126781147228e+03  8.3098776874327276e-02
3.2337331456588584e+08 2.1423892343738071e+03  7.5738224877298241e-02
3.5403651530665863e+08 2.0622715410084929e+03  6.8961917392807243e-02
3.8742862239405328e+08 1.9846515874134384e+03  6.2736467425753076e-02
4.2377302907126737e+08 1.9095186668653791e+03  5.7028224513043915e-02
4.6331070979572314e+08 1.8368547752672700e+03  5.1803434947172371e-02
5.0630022914881545e+08 1.7666370692234400e+03  4.7028878131677734e-02
5.5302119174173892e+08 1.6988344628525729e+03  4.2671986647002093e-02
6.0377566456184912e+08 1.6334091087373772e+03  3.8701246625036413e-02
6.5889068066501844e+08 1.5703165573404128e+03  3.5086419297179997e-02
7.1871811096767199e+08 1.5095090507088578e+03  3.1798863020301549e-02
7.8364174860844588e+08 1.4509312908889628e+03  2.8811373236164745e-02
8.5407481501574445e+08 1.3945266367361403e+03  2.6098547358029599e-02
9.3046937646754050e+08 1.3402323617626571e+03  2.3636532710955654e-02
1.0133135145019189e+09 1.2879856283570300e+03  2.1403275405828450e-02
1.1031337023942990e+09 1.2377238568754562e+03  1.9378443567728543e-02
1.2005057297402005e+09 1.1893810626875984e+03  1.7543192796500649e-02
1.3060473516783025e+09 1.1428944263773674e+03  1.5880332678348676e-02
1.4204387324729490e+09 1.0981970710912310e+03  1.4373957389508564e-02
1.5444103420350578e+09 1.0552261153288698e+03  1.3009636708067098e-02
1.6787507411799715e+09 1.0139205928529224e+03  1.1774222992524647e-02
1.8243236764159164e+09 9.7421808343151838e+02  1.0655654173567524e-02
1.9820579947495725e+09 9.3605984515513535e+02  9.6430145911101141e-03
2.1529631700147572e+09 8.9938794529508380e+02  8.7263578837900521e-03
2.3381343661422348e+09 8.6414596660751124e+02  7.8966450430437585e-03
2.5387563549221787e+09 8.3027966214180049e+02  7.1456808681435603e-03
2.7561154435630164e+09 7.9773616524561999e+02  6.4660220470332446e-03
2.9916019425916729e+09 7.6646492242801048e+02  5.8509299387868004e-03
3.2467203608315921e+09 7.3641727245319385e+02  5.2942978352459036e-03
3.5231044882105279e+09 7.0754578967012640e+02  4.7905825077274441e-03
3.8225316030645475e+09 6.7980416488665207e+02  4.3347530385624113e-03
4.1469205854717197e+09 6.5314853941973104e+02  3.9222660538914588e-03
4.4983450043764124e+09 6.2753705810145652e+02  3.5490123477660666e-03
4.8790539625429964e+09 6.0292915540841079e+02  3.2112665089737372e-03
5.2914831440619478e+09 5.7928581068277720e+02  2.9056556813484044e-03
5.7382872636242027e+09 5.5656867540242388e+02  2.6291167649371461e-03
6.2223331299365921e+09 5.3474148295763280e+02  2.3788854323670209e-03
6.7467002768757124e+09 5.1377038969402145e+02  2.1524705543375013e-03
7.3147640398635540e+09 4.9362124472758700e+02  1.9475998242088470e-03
7.9301651681362295e+09 4.7426189622889365e+02  1.7622242610779179e-03
8.5968527347160168e+09 4.5566131159666674e+02  1.5944884198560681e-03
9.3190966480464058e+09 4.3778990106952182e+02  1.4427153224979489e-03
1.0101523368009661e+10 4.2061918001010224e+02  1.3053868611527951e-03
1.0949155133464609e+10 4.0412156589482947e+02  1.1811276501718935e-03
1.1867428758659500e+10 3.8827066395507603e+02  1.0686940428092507e-03
1.2862209044352461e+10 3.7304148644560615e+02  9.6696313557702209e-04
1.3939879302295177e+10 3.5840952913792512e+02  8.7491542069884662e-04
1.5107361146685978e+10 3.4435121560477546e+02  7.9162836680343762e-04
1.6372131917067802e+10 3.3084416085319202e+02  7.1626884326159515e-04
1.7742318956455795e+10 3.1786658819206713e+02  6.4808152373210673e-04
1.9226682940696690e+10 3.0539798052334464e+02  5.8638505594790541e-04
2.0834774360549114e+10 2.9341813249702653e+02  5.3056049038483996e-04
2.2576889137408009e+10 2.8190802970035617e+02  4.8004968056463088e-04
2.4464180808663754e+10 2.7084936430453035e+02  4.3434732355009922e-04
2.6508774295969044e+10 2.6022430783737138e+02  3.9299522791059116e-04
2.8723775973972862e+10 2.5001590006446708e+02  3.5557949889474861e-04
3.1123352252803726e+10 2.4020796045588665e+02  3.2172599014882131e-04
3.3722931682862259e+10 2.3078461471919559e+02  2.9109503801881797e-04
3.6539240255403107e+10 2.2173063134185745e+02  2.6337946683313779e-04
3.9590286898784500e+10 2.1303172921719775e+02  2.3830240230136800e-04
4.2895659181380486e+10 2.0467394302849934e+02  2.1561257521300378e-04
4.6476584688529495e+10 1.9664385548809548e+02  1.9508265307210590e-04
5.0356066351132072e+10 1.8892858165607475e+02  1.7650697296437413e-04
5.4558953605007446e+10 1.8151587650555595e+02  1.5969975622110420e-04
5.9112216114788055e+10 1.7439387576216367e+02  1.4449266048270290e-04
6.4045160244535530e+10 1.6755106730884239e+02  1.3073314615660864e-04
6.9389250114758331e+10 1.6097676194373756e+02  1.1828391391104253e-04
7.5179059339043396e+10 1.5466010878821280e+02  1.0701964311172606e-04
8.1451507732776001e+10 1.4859127750737949e+02  9.6828011443513158e-05
8.8247096694477356e+10 1.4276033283963795e+02  8.7606554905083120e-05
9.5609409378053329e+10 1.3715801334194137e+02  7.9263033353573121e-05
1.0358557450604634e+11 1.3177546130805027e+02  7.1714023214982601e-05
1.1222718552624628e+11 1.2660383298647231e+02  6.4883588437886940e-05
1.2158927423020419e+11 1.2163514054377278e+02  5.8703686991188150e-05
1.3173254385035684e+11 1.1686114255513850e+02  5.3112047769236912e-05
1.4272179409053888e+11 1.1227439525035983e+02  4.8052892806945934e-05
1.5462777855218317e+11 1.0786749946907231e+02  4.3475466898744181e-05
1.6752703447289505e+11 1.0363340370260262e+02  3.9333911147030794e-05
1.8000000000000000e+11 9.9979848681447706e+01  3.5958280410998637e-05
