chi=1.30900e+00 eps_A=5.00000e-11 eps_I=1.00000e-09  t_end=8.00e+10 ts=9.00e+06 ta=2.00e+06 tp=1.00e+05
1.2557072830280170e+08 2.3716165831836797e+03  1.2474567515324368e+00
1.3686412501569393e+08 2.2811800893395471e+03  1.2555374821348937e+00
1.4912143879964784e+08 2.1941225156905725e+03  1.2634754121658029e+00
1.6242459894032267e+08 2.1103178906731791e+03  1.2712696928584630e+00
1.7686170873690185e+08 2.0296493244666522e+03  1.2789192885541165e+00
1.9252899182041308e+08 1.9520001387792779e+03  1.2864237775860679e+00
2.0953052296237558e+08 1.8772594670963761e+03  1.2937828099845927e+00
2.2797829194990557e+08 1.8053236523699511e+03  1.3009959275953280e+00
2.4799515836935025e+08 1.7360871025232668e+03  1.3080634532269448e+00
2.6971287514043850e+08 1.6694530783976998e+03  1.3149853886526066e+00
2.9327507784811801e+08 1.6053255469928781e+03  1.3217622127548074e+00
3.1883689955381596e+08 1.5436134042643973e+03  1.3283944258478302e+00
3.4656742170227826e+08 1.4842266768009213e+03  1.3348829310686496e+00
3.7664772121406251e+08 1.4270829820676454e+03  1.3412283072015336e+00
4.0927582889867544e+08 1.3720991014481274e+03  1.3474317045546673e+00
4.4466685870530969e+08 1.3191943250261511e+03  1.3534944705490091e+00
4.8305229149579811e+08 1.2682933109691339e+03  1.3594177958573046e+00
5.2468234245135057e+08 1.2193237567834628e+03  1.3652029472169431e+00
5.6983195136215770e+08 1.1722116985235973e+03  1.3708518110854506e+00
6.1879299212403250e+08 1.1268919770663003e+03  1.3763656278614194e+00
6.7188789644029355e+08 1.0832958806858064e+03  1.3817464524121239e+00
7.2946210982838786e+08 1.0413606150291610e+03  1.3869959931148084e+00
7.9189100499149835e+08 1.0010246574743245e+03  1.3921161550938246e+00
8.5958121007154787e+08 9.6222871009397954e+02  1.3971089068460381e+00
9.3297393974778831e+08 9.2491525729628540e+02  1.4019763199647857e+00
1.0125454556861881e+09 8.8902967956181601e+02  1.4067204063583361e+00
1.0988140255095954e+09 8.5451826743154027e+02  1.4113433616667268e+00
1.1923402247697268e+09 8.2132969138756948e+02  1.4158473575162034e+00
1.2937282020340641e+09 7.8941541553017362e+02  1.4202344644219826e+00
1.4036364696405656e+09 7.5872728416872565e+02  1.4245069664280985e+00
1.5227795495369134e+09 7.2921873078663600e+02  1.4286671873361234e+00
1.6519276467099040e+09 7.0084584962540475e+02  1.4327173239530329e+00
1.7919164459283688e+09 6.7356594974576979e+02  1.4366596340743611e+00
1.9436533046008623e+09 6.4733753008637439e+02  1.4404964306916765e+00
2.1081217629684291e+09 6.2212060551634136e+02  1.4442300242471948e+00
2.2863792526770082e+09 5.9787777730312234e+02  1.4478625492565591e+00
2.4795792407552204e+09 5.7457183144114458e+02  1.4513963090710440e+00
2.6889671787295761e+09 5.5216741992503376e+02  1.4548335163503610e+00
2.9159083518104787e+09 5.3062898151954141e+02  1.4581766026011662e+00
3.1618508947638121e+09 5.0992514540659511e+02  1.4614275264042973e+00
3.4283932732549262e+09 4.9002310698902005e+02  1.4645886357592399e+00
3.7172471916092634e+09 4.7089283732201358e+02  1.4676620028250555e+00
4.0302751214304461e+09 4.5250479144249357e+02  1.4706497750076937e+00
4.3695001338144903e+09 4.3483026972189583e+02  1.4735541127630762e+00
4.7371045013778906e+09 4.1784214916500486e+02  1.4763770616426237e+00
5.1354582520109758e+09 4.0151402802548967e+02  1.4791206842854441e+00
5.5671342125469389e+09 3.8582033796978260e+02  1.4817870366287220e+00
6.0348934843049822e+09 3.7073734473073347e+02  1.4843779894007900e+00
6.5417578838124943e+09 3.5624117253615879e+02  1.4868955579456817e+00
7.0910028874031153e+09 3.4230891880774607e+02  1.4893417089382863e+00
7.6861463722879829e+09 3.2891929906472615e+02  1.4917182382323897e+00
8.3310064065432587e+09 3.1605156203875282e+02  1.4940269532016641e+00
9.0297443737677040e+09 3.0368525881104762e+02  1.4962697118346031e+00
9.7868811543270435e+09 2.9180062068616263e+02  1.4984483523528911e+00
1.0607276690785160e+10 2.8037925986449409e+02  1.5005645582595242e+00
1.1496185366041994e+10 2.6940354712883544e+02  1.5026199640540541e+00
1.2459344963650219e+10 2.5885596243534837e+02  1.5046162733843886e+00
1.3502916621440594e+10 2.4872024251237116e+02  1.5065550394281719e+00
1.4633627052879410e+10 2.3898021881205005e+02  1.5084378801569165e+00
1.5858756297587067e+10 2.2962045635327897e+02  1.5102663540226360e+00
1.7186164821651596e+10 2.2062630986010996e+02  1.5120419434093759e+00
1.8624398110440536e+10 2.1198349245473813e+02  1.5137661350302536e+00
2.0182706409899204e+10 2.0367833376957748e+02  1.5154403659284510e+00
2.1871048174349220e+10 1.9569797877513187e+02  1.5170659783073064e+00
2.3700341077429718e+10 1.8802946928389849e+02  1.5186444028957056e+00
2.5682356104381321e+10 1.8066064970060103e+02  1.5201769726527781e+00
2.7829839043749397e+10 1.7357986656164084e+02  1.5216649795384745e+00
3.0156528214362083e+10 1.6677611178704635e+02  1.5231096403676152e+00
3.2677361774812714e+10 1.6023860508613859e+02  1.5245121816190828e+00
3.5408648848317261e+10 1.5395670565239163e+02  1.5258738579570446e+00
3.8367903215498611e+10 1.4792057054423560e+02  1.5271958075499630e+00
4.1574080020418732e+10 1.4212073688087884e+02  1.5284791377717477e+00
4.5047894424051300e+10 1.3654779963101078e+02  1.5297249949760798e+00
4.8811615699039764e+10 1.3119301317168458e+02  1.5309344289501736e+00
5.2889461649346695e+10 1.2604783176991013e+02  1.5321084923289852e+00
5.7307651797573502e+10 1.2110407284438416e+02  1.5332482020276272e+00
6.2094563653179993e+10 1.1635390134668194e+02  1.5343545401901642e+00
6.7281019904864464e+10 1.1178971439369175e+02  1.5354284788706440e+00
7.2900443609927551e+10 1.0740419898608553e+02  1.5364709649545079e+00
7.8988901608879456e+10 1.0319043992506721e+02  1.5374828920687165e+00
8.0000000000000000e+10 1.0253757895417657e+02  1.5376406087024190e+00
