 names peaks_phase peaks_s source_file
419 1913+10 0.1039 0.0420 stripped-cleaned-images-003.txt
420 1913+16 0.0570 0.0034 stripped-cleaned-images-003.txt
421 1913+167 0.0130 0.0210 stripped-cleaned-images-003.txt
422 1914+09 0.0531 0.0143 stripped-cleaned-images-003.txt
423 1914+13 3.3403 0.9414 stripped-cleaned-images-003.txt
424 1915+13 0.8089 0.1574 stripped-cleaned-images-003.txt
425 1915+22 0.0545 0.0232 stripped-cleaned-images-003.txt
426 1916+14 0.7722 0.9119 stripped-cleaned-images-003.txt
427 1917+00 0.0447 0.0568 stripped-cleaned-images-003.txt
428 1918+26 0.0112 0.0088 stripped-cleaned-images-003.txt
429 1918+19 0.0328 0.0269 stripped-cleaned-images-003.txt
430 1919+14 0.4835 0.2989 stripped-cleaned-images-003.txt
431 1919+21 0.0033 0.0044 stripped-cleaned-images-003.txt
432 1920+20 0.0220 0.0258 stripped-cleaned-images-003.txt
433 1920+21 0.0958 0.1033 stripped-cleaned-images-003.txt
434 1923+04 0.0398 0.0427 stripped-cleaned-images-003.txt
435 1924+14 0.0098 0.0130 stripped-cleaned-images-003.txt
436 0052+51 0.0041 0.0087 stripped-cleaned-images-005.txt
437 0059+65 0.0136 0.0229 stripped-cleaned-images-005.txt
438 0114+58 1.6659 0.1690 stripped-cleaned-images-005.txt
439 0144+59 0.0355 0.0070 stripped-cleaned-images-005.txt
440 0149_16 0.0086 0.0072 stripped-cleaned-images-005.txt
441 0301+19 0.0129 0.0179 stripped-cleaned-images-005.txt
442 0339+53 0.0165 0.0319 stripped-cleaned-images-005.txt
443 0353+52 0.0157 0.0031 stripped-cleaned-images-005.txt
444 0402+61 0.0904 0.0538 stripped-cleaned-images-005.txt
445 0410+69 0.0090 0.0035 stripped-cleaned-images-005.txt
446 0421_0345 0.0040 0.0086 stripped-cleaned-images-005.txt
447 0450_18 0.0856 0.0470 stripped-cleaned-images-005.txt
448 0450+55 0.2298 0.0783 stripped-cleaned-images-005.txt
449 0458+46 0.0312 0.0199 stripped-cleaned-images-005.txt
450 0523+11 0.0071 0.0025 stripped-cleaned-images-005.txt
451 0538+2817 0.0171 0.0025 stripped-cleaned-images-005.txt
452 0540+23 0.1604 0.0394 stripped-cleaned-images-005.txt
453 0609+37 0.0193 0.0057 stripped-cleaned-images-005.txt
454 0611+22 6.3442 2.1251 stripped-cleaned-images-005.txt
455 0643+80 0.0044 0.0054 stripped-cleaned-images-005.txt
456 0656+14 0.1121 0.0431 stripped-cleaned-images-005.txt
457 0727_18 0.4900 0.2500 stripped-cleaned-images-005.txt
458 0820+02 0.0118 0.0102 stripped-cleaned-images-005.txt
459 0844_35 0.0075 0.0084 stripped-cleaned-images-005.txt
460 0906_17 0.0113 0.0046 stripped-cleaned-images-005.txt
461 0919+06 0.4186 0.1803 stripped-cleaned-images-005.txt
462 0943+10 50.3879 55.3111 stripped-cleaned-images-005.txt
463 1141_3107 0.2609 0.1405 stripped-cleaned-images-005.txt
464 1141_3322 0.0606 0.0177 stripped-cleaned-images-005.txt
465 1322+83 0.0241 0.0161 stripped-cleaned-images-005.txt
466 1508+55 0.1548 0.1145 stripped-cleaned-images-005.txt
467 1540_06 0.0166 0.0117 stripped-cleaned-images-005.txt
468 1541+09 0.0456 0.0341 stripped-cleaned-images-005.txt
469 1552_23 0.0192 0.0102 stripped-cleaned-images-005.txt
470 1620_26 1.1280 0.0125 stripped-cleaned-images-005.txt
471 1649_23 0.0076 0.0129 stripped-cleaned-images-005.txt
472 1657_13 0.0264 0.0169 stripped-cleaned-images-005.txt
473 1700_3312 0.0087 0.0118 stripped-cleaned-images-005.txt
474 1700_32 0.0024 0.0029 stripped-cleaned-images-005.txt
475 1708_3426 0.0155 0.0107 stripped-cleaned-images-005.txt
476 1706_16 0.5835 0.3810 stripped-cleaned-images-005.txt
477 1709_15 0.0107 0.0093 stripped-cleaned-images-005.txt
478 1717_29 0.0073 0.0045 stripped-cleaned-images-005.txt
479 1718_35 0.7048 0.1976 stripped-cleaned-images-005.txt
480 1726_00 0.0187 0.0072 stripped-cleaned-images-005.txt
481 1727_33 1.3541 0.1888 stripped-cleaned-images-005.txt
482 1736_29 0.5375 0.1736 stripped-cleaned-images-005.txt
483 1737+13 0.0333 0.0267 stripped-cleaned-images-005.txt
484 1740_13 0.1906 0.0772 stripped-cleaned-images-005.txt
485 1740_31 0.0176 0.0425 stripped-cleaned-images-005.txt
486 1742_30 0.1268 0.0466 stripped-cleaned-images-005.txt
487 1745_12 0.0410 0.0161 stripped-cleaned-images-005.txt
488 1754_24 1.1285 0.2642 stripped-cleaned-images-005.txt
489 1756_22 0.1267 0.0584 stripped-cleaned-images-005.txt
490 1800_21 98.5741 13.1712 stripped-cleaned-images-005.txt
491 1802+03 0.0670 0.0147 stripped-cleaned-images-005.txt
492 1804_12 0.0126 0.0066 stripped-cleaned-images-005.txt
493 1804_08 0.0176 0.0029 stripped-cleaned-images-005.txt
494 1804_27 0.0198 0.0164 stripped-cleaned-images-005.txt
495 1805_20 0.0335 0.0308 stripped-cleaned-images-005.txt
496 1806_21 0.0167 0.0117 stripped-cleaned-images-005.txt
497 1809_173 0.3106 0.3744 stripped-cleaned-images-005.txt
498 1809_176 0.0289 0.0155 stripped-cleaned-images-005.txt
499 1811+40 0.0075 0.0070 stripped-cleaned-images-005.txt
500 1813_17 0.2133 0.1669 stripped-cleaned-images-005.txt
501 1817_13 0.0120 0.0111 stripped-cleaned-images-005.txt
502 1817_18 0.0118 0.0036 stripped-cleaned-images-005.txt
503 1820_11 0.2574 0.0720 stripped-cleaned-images-005.txt
504 1820_30_ 0.0964 0.0005 stripped-cleaned-images-005.txt
505 1820_31 0.1515 0.0430 stripped-cleaned-images-005.txt
506 1821+05 0.0049 0.0037 stripped-cleaned-images-005.txt
507 1823_0154 0.0051 0.0038 stripped-cleaned-images-005.txt
508 1822_09 1.6702 1.2843 stripped-cleaned-images-005.txt
509 1822_14 0.2397 0.0669 stripped-cleaned-images-005.txt
510 1823_11 0.0124 0.0259 stripped-cleaned-images-005.txt
511 1823_13 4.6099 0.4677 stripped-cleaned-images-005.txt
512 1824_10 0.0943 0.0232 stripped-cleaned-images-005.txt
513 1826_17 0.1074 0.0330 stripped-cleaned-images-005.txt
