 names peaks_phase peaks_s source_file
96 0215+6218 0.0100 0.0055 stripped-cleaned-images-001.txt
97 0218+4232 0.1279 0.0003 stripped-cleaned-images-001.txt
98 0226+70 0.0081 0.0118 stripped-cleaned-images-001.txt
99 0301+19 0.0225 0.0313 stripped-cleaned-images-001.txt
100 0320+39 0.0049 0.0147 stripped-cleaned-images-001.txt
101 0331+45 0.0114 0.0031 stripped-cleaned-images-001.txt
102 0339+53 0.0186 0.0360 stripped-cleaned-images-001.txt
103 0353+52 0.0316 0.0062 stripped-cleaned-images-001.txt
104 0402+61 0.2072 0.1232 stripped-cleaned-images-001.txt
105 0410+69 0.0127 0.0050 stripped-cleaned-images-001.txt
106 0421_0345 0.0039 0.0084 stripped-cleaned-images-001.txt
107 0448_2749 0.0151 0.0068 stripped-cleaned-images-001.txt
108 0447_12 0.0292 0.0128 stripped-cleaned-images-001.txt
109 0450_18 0.2162 0.1187 stripped-cleaned-images-001.txt
110 0450+55 0.7237 0.2466 stripped-cleaned-images-001.txt
111 0459_0210 0.0093 0.0106 stripped-cleaned-images-001.txt
112 0458+46 0.0872 0.0557 stripped-cleaned-images-001.txt
113 0520_2553 0.0099 0.0024 stripped-cleaned-images-001.txt
114 0523+11 0.0068 0.0024 stripped-cleaned-images-001.txt
115 0538+2817 0.3682 0.0527 stripped-cleaned-images-001.txt
116 0540+23 2.1552 0.5301 stripped-cleaned-images-001.txt
117 0609+37 0.0561 0.0167 stripped-cleaned-images-001.txt
118 0613_0200 0.0955 0.0003 stripped-cleaned-images-001.txt
119 0611+22 25.7435 8.6230 stripped-cleaned-images-001.txt
120 0621+1002 0.0100 0.0003 stripped-cleaned-images-001.txt
121 0621_04 0.0085 0.0088 stripped-cleaned-images-001.txt
122 0626+24 0.0537 0.0256 stripped-cleaned-images-001.txt
123 0643+80 0.0087 0.0106 stripped-cleaned-images-001.txt
124 0656+14 2.0102 0.7737 stripped-cleaned-images-001.txt
125 0655+64 0.0246 0.0048 stripped-cleaned-images-001.txt
126 0725_1635 0.0090 0.0038 stripped-cleaned-images-001.txt
127 0727_18 1.1441 0.5837 stripped-cleaned-images-001.txt
128 0740_28 4.8754 0.8130 stripped-cleaned-images-001.txt
129 0751+1807 0.0858 0.0003 stripped-cleaned-images-001.txt
130 0751+32 0.0089 0.0128 stripped-cleaned-images-001.txt
131 0809+74 0.0072 0.0093 stripped-cleaned-images-001.txt
132 0818_13 0.0033 0.0041 stripped-cleaned-images-001.txt
133 0820+02 0.0127 0.0110 stripped-cleaned-images-001.txt
134 0826_34 0.0484 0.0895 stripped-cleaned-images-001.txt
135 0834+06 2.0323 2.5887 stripped-cleaned-images-001.txt
136 0844_35 0.0111 0.0124 stripped-cleaned-images-001.txt
137 0841+80 0.0139 0.0222 stripped-cleaned-images-001.txt
138 0853_33 0.0128 0.0162 stripped-cleaned-images-001.txt
139 0906_17 0.0169 0.0068 stripped-cleaned-images-001.txt
140 0917+63 0.0036 0.0056 stripped-cleaned-images-001.txt
141 0919+06 1.6448 0.7083 stripped-cleaned-images-001.txt
142 0940+16 0.0238 0.0259 stripped-cleaned-images-001.txt
143 0942_13 0.0069 0.0039 stripped-cleaned-images-001.txt
144 0943+10 173.8394 190.8246 stripped-cleaned-images-001.txt
145 1010_23 0.0114 0.0287 stripped-cleaned-images-001.txt
146 1012+5307 11.8531 0.0623 stripped-cleaned-images-001.txt
147 1016_16 0.0105 0.0190 stripped-cleaned-images-001.txt
148 1022+1001 0.0103 0.0002 stripped-cleaned-images-001.txt
149 1024_0719 0.0868 0.0004 stripped-cleaned-images-001.txt
150 1034_3224 0.0134 0.0154 stripped-cleaned-images-001.txt
151 1039_19 0.0099 0.0137 stripped-cleaned-images-001.txt
152 1047_3032 0.0428 0.0141 stripped-cleaned-images-001.txt
153 1112+50 0.0076 0.0127 stripped-cleaned-images-001.txt
154 1141_3107 0.4560 0.2455 stripped-cleaned-images-001.txt
155 1141_3322 0.1041 0.0303 stripped-cleaned-images-001.txt
156 1238+21 0.0095 0.0106 stripped-cleaned-images-001.txt
157 1254_10 0.0167 0.0103 stripped-cleaned-images-001.txt
158 1257+12 0.0767 0.0005 stripped-cleaned-images-001.txt
159 1309_12 0.0159 0.0071 stripped-cleaned-images-001.txt
160 1322+83 0.0575 0.0385 stripped-cleaned-images-001.txt
161 1332_3032 0.1247 0.0811 stripped-cleaned-images-001.txt
162 1455_3330 0.0524 0.0004 stripped-cleaned-images-001.txt
163 1508+55 0.7526 0.5567 stripped-cleaned-images-001.txt
164 1518+4904 0.0059 0.0002 stripped-cleaned-images-001.txt
165 1530+27 0.0200 0.0225 stripped-cleaned-images-001.txt
166 1924+16 0.2830 0.1641 stripped-cleaned-images-004.txt
167 1929+10 1.1823 0.2678 stripped-cleaned-images-004.txt
168 1929+20 0.4090 0.1097 stripped-cleaned-images-004.txt
169 1930+22 17.8626 2.5806 stripped-cleaned-images-004.txt
170 1931+24 1.5303 1.2452 stripped-cleaned-images-004.txt
171 1933+16 0.4509 0.1617 stripped-cleaned-images-004.txt
172 1935+25 0.0197 0.0040 stripped-cleaned-images-004.txt
